name_of_centre
SONOLIFE ULTRASOUND CLINIC
MEDILIFE CLINIC
GAYATRI HOSPITAL AND REASEARCH CENTRE
SIPRA CLINIC
SAI X RAY PATHOLOGY AND NURSING HOME SAI SCAN
SDH ULTRASOUND
PRATIVA SCAN
ADMO MEDICAL
SONOLIFE
